rp_id;so_id;item_id;item_name;proc_code;qty;billing_interval;initial_dos;period;status;created_date;created_by_id;updated_date;updated_by_id;so_recurring_purchase_uuid;created_by_name;updated_by_name
1;62037;58600;microchip;transmitting;90692;61408;2023-06-01;5178;quantifying initiative redundant;2023-06-02;77867;2023-06-01;23388;bd2871c9-723c-4661-bc81-d234a26a1fca;Ergonomic;Auto
2;60316;3730;multimedia;hack Tanzania;63707;70220;2023-06-01;15581;copying disintermediate Team-oriented;2023-06-02;34281;2023-06-02;52552;24355be7-13ef-475b-b5c5-4987b7cb6284;Tuna Program Metrics;Movies Boliviano
3;47551;78442;Peso fresh-thinking;Gloves;40173;79139;2023-06-02;22675;Gabon Assistant enterprise;2023-06-02;10534;2023-06-02;12022;55cb8a16-1115-42df-a9bf-646c472e7cf9;6th Executive Officer;deposit
4;92093;40750;US Junctions;synergies Planner;82770;33147;2023-06-02;8247;Personal Group Small;2023-06-02;5330;2023-06-02;26879;3fe009e2-838c-4319-b9ec-94874b1edd68;Digitized generate turquoise;alarm
5;59983;30506;ADP;Pennsylvania Account;44064;56855;2023-06-02;30152;distributed;2023-06-01;36809;2023-06-02;38233;d07431ee-7cb3-4f1a-8e96-2cbea14f1114;Loan Books;Analyst
6;28880;29424;Hat indigo;Shoes;14980;99940;2023-06-02;84058;Caledonia;2023-06-02;10972;2023-06-02;62055;23a84c79-57ef-4bb0-9412-89f6c4f5e696;wireless;Salad Hat
7;62312;73721;HTTP analyzer Account;driver Buckinghamshire bypassing;86383;35130;2023-06-02;5200;EXE deposit;2023-06-01;30151;2023-06-02;97380;791af25f-069e-41cc-af1d-e4de46283056;backing Ngultrum Direct;hacking
8;98824;10022;Cotton Multi-lateral Namibia;Administrator Missouri;71330;48515;2023-06-02;2013;deposit;2023-06-01;10580;2023-06-02;67884;d984602e-da76-4ae0-935e-7022911b972a;clicks-and-mortar;Account Iceland Direct
9;75041;55066;one-to-one monitor state;hierarchy Frozen Ergonomic;77308;21892;2023-06-01;97235;Avon;2023-06-01;57786;2023-06-02;62693;d4be93ef-1eff-4c41-ba9c-d6a6ce4cf95d;turn-key;Implemented
10;94014;5232;Avon;USB Engineer;11159;87644;2023-06-02;81660;Shoes;2023-06-02;2146;2023-06-02;58747;384c373f-b066-47dd-946a-5ef6ac08f133;Intranet;Awesome navigate
