id;patnt_cliical_infoation_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by
1;64140;generate;withdrawal Loan;Soap Legacy;2023-01-23;port Bedfordshire Tuna
2;41909;Savings;Kansas;Mali back-end Lead;2023-01-22;Sleek Maine reciprocal
3;33342;Granite Avon;invoice Illinois applications;Consultant;2023-01-23;quantifying withdrawal Home
4;46484;Rustic Awesome;Market Refined;Persevering;2023-01-23;heuristic Administrator copying
5;96470;Technician JSON wireless;magenta;alarm;2023-01-23;invoice Rupiah
6;99982;Granite Loan;24/365 recontextualize deliverables;transmitter deposit SDR;2023-01-23;Latvian deposit
7;40812;Shirt;Engineer;Avon;2023-01-23;Field Saint
8;23269;Representative compressing Court;bluetooth Dynamic;Rial Brand Ruble;2023-01-23;port Shoes
9;89094;Alley Mouse green;Drives Persistent;Bedfordshire innovate;2023-01-23;lime Designer open-source
10;84723;transmit;generating Indonesia Rupee;overriding;2023-01-22;Borders
