invce_lin_itm_detil_id;old_row_data;new_row_data;dml_type;dml_timestamp;dml_created_by;id
1;Practical Licensed killer;deploy;Chief homogeneous;2022-12-12;Berkshire generation;69921
2;back Frozen;Fantastic microchip;invoice;2022-12-13;Human Brand;47150
3;Metal;visualize Account extend;moderator Towels deploy;2022-12-12;black Bahamas New;27678
4;synthesize;line;Future Towels hard;2022-12-12;next-generation;44647
5;magnetic Versatile;Borders teal;Solutions;2022-12-13;success envisioneer;54629
6;Soft Director Cheese;Louisiana teal Avon;Gibraltar Fort;2022-12-12;virtual;91984
7;Industrial navigating Buckinghamshire;Steel;strategize;2022-12-12;Illinois;75015
8;Cuba help-desk Loan;Consultant lavender Games;reinvent Democratic;2022-12-12;payment Account Chips;45919
9;attitude clicks-and-mortar;virtual knowledge world-class;deposit;2022-12-12;one-to-one;47596
10;invoice tolerance Chicken;extend pixel SSL;Principal Soft Health;2022-12-13;Radial Computers;5516
